commodityCode,countryCode,weeklyExports,accumulatedExports,outstandingSales,grossNewSales,currentMYNetSales,currentMYTotalCommitment,nextMYOutstandingSales,nextMYNetSales,unitId,weekEndingDate,Year
1301,4710,0,0,0,0,0,0,0,0,2,2024-08-22T00:00:00,2024
1301,4750,0,0,5411,0,0,5411,0,0,2,2024-08-22T00:00:00,2024
1301,4792,0,0,176,88,88,176,0,0,2,2024-08-22T00:00:00,2024
1301,4840,0,0,0,0,0,0,0,0,2,2024-08-22T00:00:00,2024
1301,4890,261,348,695,698,698,1043,0,0,2,2024-08-22T00:00:00,2024
1301,5200,0,0,430,0,0,430,0,0,2,2024-08-22T00:00:00,2024
1301,5250,0,0,0,0,0,0,0,0,2,2024-08-22T00:00:00,2024
1301,5330,1922,9587,25370,5866,5347,34957,0,0,2,2024-08-22T00:00:00,2024
1301,5350,436,2954,2695,264,264,5649,0,0,2,2024-08-22T00:00:00,2024
1301,5380,258,258,2162,0,0,2420,0,0,2,2024-08-22T00:00:00,2024
1301,5490,430,518,866,0,0,1384,0,0,2,2024-08-22T00:00:00,2024
1301,5520,2012,3143,8034,0,0,11177,0,0,2,2024-08-22T00:00:00,2024
1301,5570,0,86,0,0,0,86,0,0,2,2024-08-22T00:00:00,2024
1301,5600,0,352,261,0,0,613,0,0,2,2024-08-22T00:00:00,2024
1301,5700,4463,5164,5968,4400,4400,11132,0,0,2,2024-08-22T00:00:00,2024
1301,5800,0,0,172,0,0,172,0,0,2,2024-08-22T00:00:00,2024
1301,5820,0,0,590,0,0,590,0,0,2,2024-08-22T00:00:00,2024
1301,5830,0,435,0,0,0,435,0,0,2,2024-08-22T00:00:00,2024
1301,5880,175,525,520,175,175,1045,0,0,2,2024-08-22T00:00:00,2024
1301,7290,0,0,5026,4409,4409,5026,0,0,2,2024-08-22T00:00:00,2024
1301,7740,0,0,0,0,0,0,0,0,2,2024-08-22T00:00:00,2024
1301,2,0,0,0,0,0,0,0,0,2,2024-08-22T00:00:00,2024
1301,2010,0,0,87,0,0,87,0,0,2,2024-08-29T00:00:00,2024
1301,2050,0,88,528,528,528,616,0,0,2,2024-08-29T00:00:00,2024
1301,2110,0,0,0,0,0,0,0,0,2,2024-08-29T00:00:00,2024
1301,2150,0,0,0,0,0,0,0,0,2,2024-08-29T00:00:00,2024
1301,3010,0,0,565,0,0,565,0,0,2,2024-08-29T00:00:00,2024
1301,3330,0,2716,12763,0,-5896,15479,0,0,2,2024-08-29T00:00:00,2024
1301,3510,0,0,880,0,0,880,0,0,2,2024-08-29T00:00:00,2024
1301,4120,0,0,0,0,0,0,0,0,2,2024-08-29T00:00:00,2024
1301,4280,176,440,440,176,176,880,0,0,2,2024-08-29T00:00:00,2024
1301,4330,0,0,0,0,0,0,0,0,2,2024-08-29T00:00:00,2024
1301,4410,0,0,0,0,0,0,0,0,2,2024-08-29T00:00:00,2024
1301,4710,0,0,0,0,0,0,0,0,2,2024-08-29T00:00:00,2024
1301,4750,1337,1337,4074,0,0,5411,0,0,2,2024-08-29T00:00:00,2024
1301,4792,176,176,0,0,0,176,0,0,2,2024-08-29T00:00:00,2024
1301,4840,0,0,0,0,0,0,0,0,2,2024-08-29T00:00:00,2024
1301,4890,0,348,695,0,0,1043,0,0,2,2024-08-29T00:00:00,2024
1301,5200,0,0,430,0,0,430,0,0,2,2024-08-29T00:00:00,2024
1301,5250,0,0,441,441,441,441,0,0,2,2024-08-29T00:00:00,2024
1301,5330,1385,10972,35314,11329,11329,46286,0,0,2,2024-08-29T00:00:00,2024
1301,5350,88,3042,2607,0,0,5649,0,0,2,2024-08-29T00:00:00,2024
1301,5380,0,258,3032,870,870,3290,0,0,2,2024-08-29T00:00:00,2024
1301,5490,0,518,866,0,0,1384,0,0,2,2024-08-29T00:00:00,2024
1301,5520,2610,5753,5424,0,0,11177,0,0,2,2024-08-29T00:00:00,2024
1301,5570,0,86,0,0,0,86,0,0,2,2024-08-29T00:00:00,2024
1301,5600,0,352,437,176,176,789,0,0,2,2024-08-29T00:00:00,2024
1301,5700,88,5252,6760,880,880,12012,0,0,2,2024-08-29T00:00:00,2024
1301,5800,172,172,0,0,0,172,0,0,2,2024-08-29T00:00:00,2024
1301,5820,0,0,590,0,0,590,0,0,2,2024-08-29T00:00:00,2024
1301,5830,0,435,0,0,0,435,0,0,2,2024-08-29T00:00:00,2024
1301,5880,0,525,784,264,264,1309,0,0,2,2024-08-29T00:00:00,2024
1301,7290,0,0,6349,1323,1323,6349,0,0,2,2024-08-29T00:00:00,2024
1301,7740,0,0,0,0,0,0,0,0,2,2024-08-29T00:00:00,2024
1301,2,0,0,0,0,0,0,0,0,2,2024-08-29T00:00:00,2024
1301,2010,0,0,87,0,0,87,0,0,2,2024-09-05T00:00:00,2024
1301,2050,0,88,616,88,88,704,0,0,2,2024-09-05T00:00:00,2024
1301,2110,0,0,0,0,0,0,0,0,2,2024-09-05T00:00:00,2024
1301,2150,0,0,0,0,0,0,0,0,2,2024-09-05T00:00:00,2024
1301,3010,174,174,391,0,0,565,0,0,2,2024-09-05T00:00:00,2024
1301,3330,1056,3772,13191,1484,1484,16963,0,0,2,2024-09-05T00:00:00,2024
1301,3510,440,440,440,0,0,880,0,0,2,2024-09-05T00:00:00,2024
1301,4120,0,0,0,0,0,0,0,0,2,2024-09-05T00:00:00,2024
1301,4280,0,440,440,0,0,880,0,0,2,2024-09-05T00:00:00,2024
1301,4330,0,0,0,0,0,0,0,0,2,2024-09-05T00:00:00,2024
1301,4410,0,0,0,0,0,0,0,0,2,2024-09-05T00:00:00,2024
1301,4710,0,0,0,0,0,0,0,0,2,2024-09-05T00:00:00,2024
1301,4750,0,1337,4074,0,0,5411,0,0,2,2024-09-05T00:00:00,2024
1301,4792,0,176,0,0,0,176,0,0,2,2024-09-05T00:00:00,2024
1301,4840,0,0,0,0,0,0,0,0,2,2024-09-05T00:00:00,2024
1301,4890,0,348,695,0,0,1043,0,0,2,2024-09-05T00:00:00,2024
1301,5200,0,0,430,0,0,430,0,0,2,2024-09-05T00:00:00,2024
